state,value,,,,,,,,,,,
Alabama,2,,,,,,,,,,,
Alaska,2,,,,,,,,,,,
Arizona,1,,,,,,,,,,,
Arkansas,1,,,,,,,,,,,
California,18,,,,,,,,,,,
Colorado,2,,,,,,,,,,,
Connecticut,1,,,,,,,,,,,
Delaware,2,,,,,,,,,,,
District of Columbia,1,,,,,,,,,,,
Florida,9,,,,,,,,,,,
Georgia,3,,,,,,,,,,,
Idaho,1,,,,,,,,,,,
Illinois,5,,,,,,,,,,,
Indiana,3,,,,,,,,,,,
Iowa,0,,,,,,,,,,,
Kansas,0,,,,,,,,,,,
Kentucky,0,,,,,,,,,,,
Louisiana,3,,,,,,,,,,,
Maine,0,,,,,,,,,,,
Maryland,6,,,,,,,,,,,
Massachusetts,1,,,,,,,,,,,
Michigan,3,,,,,,,,,,,
Minnesota,2,,,,,,,,,,,
Mississippi,1,,,,,,,,,,,
Missouri,2,,,,,,,,,,,
Montana,0,,,,,,,,,,,
Nebraska,1,,,,,,,,,,,
Nevada,0,,,,,,,,,,,
New Hampshire,0,,,,,,,,,,,
New Jersey,5,,,,,,,,,,,
New York,12,,,,,,,,,,,
North Carolina,2,,,,,,,,,,,
North Dakota,0,,,,,,,,,,,
Ohio,2,,,,,,,,,,,
Oklahoma,3,,,,,,,,,,,
Oregon,2,,,,,,,,,,,
Pennsylvania,4,,,,,,,,,,,
Rhode Island,1,,,,,,,,,,,
South Carolina,2,,,,,,,,,,,
Tennessee,3,,,,,,,,,,,
Texas,15,,,,,,,,,,,
Utah,0,,,,,,,,,,,
Vermont,0,,,,,,,,,,,
Virginia,3,,,,,,,,,,,
Washington,3,,,,,,,,,,,
Wisconsin,2,,,,,,,,,,,
Wyoming,0,,,,,,,,,,,
Hawaii,0,,,,,,,,,,,
New Mexico,0,,,,,,,,,,,
South Dakota,0,,,,,,,,,,,
West Virginia,0,,,,,,,,,,,
